political,missing_multiplier,time_multiplier,target_multiplier,county_shared,exclude_flagged,year,winner,measure,p05,median,p95,fixed_population
neutral,1.0,1.0,1.0,False,False,2036,Trump,operating_gw_per_listed_proposal,0.19455177091185932,0.3563962232036023,0.5447266107419486,39252529.0
neutral,1.0,1.0,1.0,False,False,2036,Harris,operating_gw,65.35427537172465,81.93835017831216,101.71138008718539,81424822.0
neutral,1.0,1.0,1.0,False,False,2036,Harris,mw_per_1000_fixed_host_population,0.8026333219583167,1.0063067767997351,1.2491446415097518,81424822.0
neutral,1.0,1.0,1.0,False,False,2036,Harris,mw_per_1000_operating_host_population,0.8911260617167188,1.105929370976476,1.372148125798832,81424822.0
neutral,1.0,1.0,1.0,False,False,2036,Harris,operating_host_residents_millions,70.93916825,74.1850055,77.27103755,81424822.0
neutral,1.0,1.0,1.0,False,False,2036,Harris,operating_project_count,123.0,132.0,140.0,81424822.0
neutral,1.0,1.0,1.0,False,False,2036,Harris,operating_gw_per_listed_proposal,0.09847657326962707,0.2063865314871462,0.3449189060317419,81424822.0
neutral,1.0,1.0,1.0,False,False,2036,Trump/Harris,intensity_ratio,3.4873649295223648,4.4220845174371055,5.582861254981045,
proportional,1.0,1.0,1.0,False,False,2026,Trump,operating_gw,25.97649389109591,35.484284395348205,48.71409236362862,39252529.0
proportional,1.0,1.0,1.0,False,False,2026,Trump,mw_per_1000_fixed_host_population,0.6617788599327171,0.9039999536169556,1.2410434080216495,39252529.0
proportional,1.0,1.0,1.0,False,False,2026,Trump,mw_per_1000_operating_host_population,1.7055742110668308,2.329840224650647,3.198487832856159,39252529.0
proportional,1.0,1.0,1.0,False,False,2026,Trump,operating_host_residents_millions,15.230351,15.230351,15.230351,39252529.0
proportional,1.0,1.0,1.0,False,False,2026,Trump,operating_project_count,64.0,64.0,64.0,39252529.0
proportional,1.0,1.0,1.0,False,False,2026,Trump,operating_gw_per_listed_proposal,0.0,0.0,0.0,39252529.0
proportional,1.0,1.0,1.0,False,False,2026,Harris,operating_gw,24.502423669546353,35.4271833161306,49.91683784770873,81424822.0
proportional,1.0,1.0,1.0,False,False,2026,Harris,mw_per_1000_fixed_host_population,0.30092081342893634,0.43509070632209174,0.6130420260262738,81424822.0
proportional,1.0,1.0,1.0,False,False,2026,Harris,mw_per_1000_operating_host_population,0.4878311248226481,0.7053376808550678,0.9938195291718388,81424822.0
proportional,1.0,1.0,1.0,False,False,2026,Harris,operating_host_residents_millions,50.227266,50.227266,50.227266,81424822.0
proportional,1.0,1.0,1.0,False,False,2026,Harris,operating_project_count,60.0,60.0,60.0,81424822.0
proportional,1.0,1.0,1.0,False,False,2026,Harris,operating_gw_per_listed_proposal,0.0,0.0,0.0,81424822.0
