id,name,county_winner,status,operating_mw_2030_p05,operating_mw_2030_median,operating_mw_2030_p95,mean_operating_mw_2030,probability_operating_2030
sabey-decatur-technology-park-marion-county-in,Sabey Decatur Technology Park,Harris,permitted,0.0,93.59253766038191,250.0,103.65941561204524,0.5825
beale-gardner-johnson-county-ks,Beale Infrastructure Gardner Campus,Harris,proposed,0.0,0.0,365.6765643854175,54.60643158428136,0.1775
beale-project-pilot-de-soto-ks,Beale Project Pilot (De Soto),Harris,under_construction,0.0,247.16970554374245,860.605397866664,319.4809342440206,0.882
kanza-flint-hills-digital-campus-emporia-ks,Flint Hills Digital Campus,Trump,proposed,0.0,0.0,739.1008943173593,125.5654065183289,0.228
alcove-project-catalyst-osawatomie-ks,Project Catalyst,Trump,proposed,0.0,0.0,420.94510701541435,77.65879558321149,0.278
cave-point-commerce-center-cave-city-ky,Cave Point Commerce Center,Trump,proposed,0.0,0.0,647.9387284681064,124.35232096741818,0.28575
terawulf-hawesville-ky,Justified Data Campus,Trump,under_construction,0.0,290.55737604251397,401.0,263.01358816927706,0.87125
powerhouse-louisville-ky,PowerHouse Data Centers – Louisville (Camp Ground Road),Harris,under_construction,0.0,289.0167954374897,402.0,262.03842883443957,0.8695
tenkey-franklin-ky,TenKey LandCo Project Lionsgate – Franklin Data Center,Trump,proposed,0.0,0.0,377.6262589408932,68.1725164235012,0.28325
terawulf-muskie-eastpark-ky,TeraWulf Muskie Data Campus (EastPark),Trump,proposed,0.0,0.0,659.3172215977972,137.40979659130673,0.2975
aws-benton-bossier-parish-la,Amazon Web Services Bossier Parish Campus (Benton),Trump,under_construction,0.0,229.8203001920767,1422.2213877331662,410.2400945908328,0.875
aws-blanchard-caddo-parish-la,Amazon Web Services Caddo Parish Campus (Blanchard),Harris,under_construction,0.0,222.34024683137488,1529.1662556984284,420.5288731809997,0.8655
applied-digital-delta-forge-1-la,Applied Digital Delta Forge 1 AI Factory Campus,Trump,under_construction,0.0,242.869732152359,300.0,208.32692583982853,0.87225
stack-bossier-parish-la,Bossier Parish Campus (with Amazon),Trump,under_construction,0.0,228.6832116865738,1602.1411357920342,425.6897594718739,0.87375
stack-caddo-parish-la,Caddo Parish Campus (with Amazon),Harris,under_construction,0.0,233.55849982291818,1562.4075139571626,425.3715624525451,0.87375
hut8-river-bend-west-feliciana-la,Hut 8 River Bend AI Data Center Campus,Trump,under_construction,0.0,258.25925601461813,330.0,226.8998627088857,0.87975
meta-hyperion-richland-parish-la,Meta Hyperion,Trump,under_construction,0.0,882.663059336417,1668.7494433779889,867.0107267034906,0.87325
coresite-bo1-boston-ma-ma,"CoreSite BO1 - Boston, MA",Harris,operational,40.00570050934203,422.60951633186136,3594.640895103476,892.686518585322,1.0
markley-lowell-ma,Markley Group One Lowell Data Center,Harris,operational,40.96411924912695,423.9077767667369,3386.4485668501866,879.567448293207,1.0
aws-calvert-cliffs-md,AWS Calvert County Data Center Campus,Trump,cancelled,0.0,0.0,0.0,0.0,0.0
aligned-quantum-frederick-md,Aligned Data Centers IAD-04 Frederick,Harris,under_construction,0.0,72.0,72.0,57.80511879480796,0.87125
aligned-iad-06-frederick-md,Aligned Data Centers IAD-06 Frederick,Harris,under_construction,0.0,72.0,72.0,58.706818546552036,0.8785
lerner-brightseat-tech-park-md,Brightseat Tech Park,Harris,permitted,0.0,244.55020640663614,782.2971202441042,257.95255506820877,0.5765
rowan-digital-frederick-md,Rowan Digital Infrastructure Frederick Campus (Bauxite I),Harris,under_construction,0.0,239.69452319878852,300.0,207.4970693441584,0.875
terawulf-morgantown-charles-county-md,TeraWulf Morgantown Generating Station AI Campus,Harris,proposed,0.0,0.0,418.4950271491759,49.762617975314534,0.10975
liquidcool-loring-afb-me,Loring LiquidCool Data Center (Green 4 Maine Campus),Trump,proposed,0.0,0.0,50.0,10.215047240652884,0.256
sentinel-jay-me,"Sentinel Data Centers Androscoggin Mill Campus, Jay",Trump,cancelled,0.0,0.0,0.0,0.0,0.0
