id,name,operator,status,state,county_raw,county_geocoded,city,lat,lon,mw,acres,investment,announced,jurisdiction,matched_county_fips,matched_county_name,matched_state,trump_votes,harris_votes,total_votes,trump_pct,harris_pct,margin_pct,county_winner
raeden-grand-crossing-south-city-of-industry-ca,Grand Crossing South - Building 10,Raeden,proposed,CA,Los Angeles,Los Angeles County,City of Industry,34.0051,-117.8333,,,,,city,06037,Los Angeles County,CA,1189862,2417109,3729089,31.907578499735457,64.81768067214271,-32.91010217240726,Harris
ivcm-imperial-county-ca,Imperial Valley Computer Manufacturing AI Data Center,Imperial Valley Computer Manufacturing (IVCM),proposed,CA,Imperial,Imperial County,Imperial,32.847,-115.569,330.0,75.0,,,city,06025,Imperial County,CA,26546,26083,54038,49.12469003293978,48.26788556201192,0.8568044709278655,Trump
prime-lax01-vernon-ca,Prime Data Centers LAX01,Prime Data Centers,operational,CA,Los Angeles,Los Angeles County,Vernon,34.0014,-118.2303,,,,,city,06037,Los Angeles County,CA,1189862,2417109,3729089,31.907578499735457,64.81768067214271,-32.91010217240726,Harris
prime-smf02-sacramento-ca,Prime Data Centers SMF02,Prime Data Centers,under_construction,CA,Sacramento,Sacramento County,Sacramento,38.671,-121.399,18.0,8.6,,2026-05,uninc,06067,Sacramento County,CA,252140,381564,656747,38.39225759691327,58.09908534032131,-19.70682774340804,Harris
prologis-stem-park-zanker-road-san-jose-ca,Prologis STEM Park,Prologis,proposed,CA,Santa Clara,Santa Clara County,San Jose,37.423,-121.943,396.0,159.0,,2025-11,city,06085,Santa Clara County,CA,210924,510744,750606,28.100494800201435,68.04422027002182,-39.943725469820386,Harris
prologis-silver-creek-valley-san-jose-ca,Prologis Silver Creek Valley Road Data Center,Prologis,proposed,CA,Santa Clara,Santa Clara County,San Jose,37.25,-121.79,99.0,15.0,,2026-07,city,06085,Santa Clara County,CA,210924,510744,750606,28.100494800201435,68.04422027002182,-39.943725469820386,Harris
rb-inyokern-data-center-ca,RB Inyokern Data Center,"R&L Capital, Inc.",proposed,CA,Kern,Kern County,Inyokern,35.6318,-117.8079,99.0,55.54,250000000.0,2026-05-08,uninc,06029,Kern County,CA,167879,108241,283284,59.26173027774247,38.20935880600387,21.05237147173861,Trump
scalematrix-san-diego-ca,ScaleMatrix San Diego,ScaleMatrix,operational,CA,San Diego,San Diego County,San Diego,32.8377,-117.1326,20.0,,,,city,06073,San Diego County,CA,593270,841372,1478028,40.1392937075617,56.9253085868468,-16.7860148792851,Harris
serverfarm-lax1-el-segundo-ca,Serverfarm LAX1,Serverfarm,operational,CA,Los Angeles,Los Angeles County,El Segundo,33.9218,-118.3865,,,,,city,06037,Los Angeles County,CA,1189862,2417109,3729089,31.907578499735457,64.81768067214271,-32.91010217240726,Harris
blusky-ai-walsenburg-co,BluSky AI Walsenburg (Indian Pool Ranch) Modular Data Center,BluSky AI Inc.,proposed,CO,Huerfano,Huerfano County,Walsenburg,37.6235,-104.781,15.0,36.0,,2025-09-02,city,08055,Huerfano County,CO,2346,1965,4438,52.861649391617846,44.27670121676431,8.584948174853539,Trump
coresite-de3-denver-co,CoreSite DE3,CoreSite,under_construction,CO,Denver,Denver County,Denver,39.7392,-104.9903,60.0,,,2025-10,city,08031,Denver County,CO,74765,278634,363076,20.592107437561282,76.74261036256873,-56.15050292500744,Harris
global-ai-windsor-co,Global AI Windsor Data Center (former Kodak/Carestream campus),Global AI,under_construction,CO,Weld,Weld County,Windsor,40.4653,-104.909,27.5,41.0,,2025-11,city,08123,Weld County,CO,106469,68752,179854,59.19746016213151,38.22656154436376,20.970898617767745,Trump
qts-aurora-co,QTS Aurora-Denver Data Center Campus (DEN1),QTS Data Centers,under_construction,CO,Arapahoe,Arapahoe County,Aurora,39.7113,-104.7241,177.0,67.0,,2022-05,city,08005,Arapahoe County,CO,125311,190725,325451,38.50379934306547,58.60329204703627,-20.099492703970796,Harris
raeden-taurus-colorado-springs-co,Raeden Project Taurus,Raeden,permitted,CO,El Paso,El Paso County,Colorado Springs,38.8339,-104.8214,50.0,,,,city,08041,El Paso County,CO,15209,4768,20417,74.49184503110153,23.353088112847136,51.138756918254394,Trump
ne-edge-millstone-ct,NE Edge Millstone Nuclear Data Center,NE Edge,cancelled,CT,New London,Southeastern Connecticut Planning Region,Waterford,41.3218,-72.1582,300.0,,,2023-01,uninc,09011,New London County,CT,58909,76252,137617,42.80648466395866,55.40885210402785,-12.602367440069179,Harris
starwood-digital-project-washington-de,Project Washington (Starwood Digital Ventures),Starwood Digital Ventures,proposed,DE,New Castle,New Castle County,Delaware City,39.578,-75.593,1200.0,580.0,,2025-07,city,10003,New Castle County,DE,90768,180568,275682,32.924891723072236,65.49865424655944,-32.573762523487204,Harris
cielo-haines-city-fl,Cielo Haines City Data Center,Cielo Digital Infrastructure,proposed,FL,Polk,Polk County,Haines City,28.1114,-81.6198,300.0,74.0,,2026-06,city,12105,Polk County,FL,209044,136879,348931,59.90983890797894,39.228099538304136,20.681739369674805,Trump
dcblox-palm-coast-cls-fl,DC BLOX Palm Coast Cable Landing Station,DC BLOX,under_construction,FL,Flagler,Flagler County,Palm Coast,29.5389,-81.2456,,,,2025-07-10,city,12035,Flagler County,FL,51014,28431,79968,63.79301720688275,35.55297118847539,28.240046018407362,Trump
stonebridge-fort-meade-fl,Florida Ecopark AI Data Center Campus,Stonebridge (via Florida Ecopark LLC; end tenant undisclosed),proposed,FL,Polk,Polk County,Fort Meade,27.7525,-81.8024,1200.0,200.0,2600000000.0,2026-03,city,12105,Polk County,FL,209044,136879,348931,59.90983890797894,39.228099538304136,20.681739369674805,Trump
metrobloks-mia-a1-miami-fl,Metrobloks MIA-A1 (MB01),Metrobloks,proposed,FL,Miami-Dade,Miami-Dade County,Miami,25.79,-80.41,15.2,4.05,,2025-04,city,12086,Miami-Dade County,FL,605590,480355,1094105,55.350263457346415,43.903921470060006,11.446341987286413,Trump
project-tango-loxahatchee-fl,Project Tango AI Data Center Campus,PBA Holdings (end tenant undisclosed),cancelled,FL,Palm Beach,Palm Beach County,Loxahatchee,26.6284,-80.39,,202.0,,2025-12,uninc,12099,Palm Beach County,FL,366836,372512,745709,49.19291573522648,49.95407055567252,-0.7611548204460453,Harris
aws-butts-county-ga,AWS Butts County Data Center Campus,Amazon Web Services,proposed,GA,Butts,Butts County,Jackson,33.2946,-83.9663,,,,2025-01-07,city,13035,Butts County,GA,9424,3544,13019,72.38651202089255,27.221752822797452,45.16475919809509,Trump
aligned-atl-01-lithia-springs-ga,Aligned Data Centers ATL-01,Aligned Data Centers,operational,GA,Douglas,Douglas County,Lithia Springs,33.7943,-84.6602,,,,,uninc,13097,Douglas County,GA,23996,46240,70721,33.930515688409386,65.38369084147566,-31.453175153066276,Harris
4am-burkhalter-road-statesboro-ga,Burkhalter Road Data Center,"4AM Development, LLC",proposed,GA,Bulloch,Bulloch County,Statesboro,32.4377,-81.7756,,27.0,,2026-08-19,city,13031,Bulloch County,GA,20985,11514,32657,64.25881128088923,35.25737207949291,29.001439201396334,Trump
dcblox-atlanta-east-conyers-ga,DC BLOX Atlanta East Hyperscale Data Center Campus,DC BLOX,under_construction,GA,Rockdale,Rockdale County,Conyers,33.66,-84.02,216.0,72.0,,2023,city,13247,Rockdale County,GA,11711,33165,45160,25.932240921169175,73.43888396811337,-47.5066430469442,Harris
dc-blox-atlanta-west-ga,DC BLOX Atlanta West (ATL1),DC BLOX,under_construction,GA,Douglas,Douglas County,Lithia Springs,33.7882,-84.6608,120.0,100.0,1150000000.0,2025-08,uninc,13097,Douglas County,GA,23996,46240,70721,33.930515688409386,65.38369084147566,-31.453175153066276,Harris
databank-indo-cartersville-ga,DataBank Project Indo,DataBank,proposed,GA,Bartow,Bartow County,Cartersville,34.1651,-84.7996,200.0,69.0,2400000000.0,2026,city,13015,Bartow County,GA,43271,13942,57547,75.19245138756148,24.227153457174136,50.96529793038733,Trump
edged-atlanta-tilford-yard-ga,Edged Atlanta (ATL01),Edged Energy (Endeavour),operational,GA,Fulton,Fulton County,Atlanta,33.749,-84.388,168.0,,,2024-08-21,city,13121,Fulton County,GA,144655,384752,535238,27.026294844536448,71.88428325343118,-44.857988408894734,Harris
flexential-atlanta-douglasville-1-ga,Flexential Atlanta - Douglasville 1,Flexential,operational,GA,Douglas,Douglas County,Douglasville,33.7311,-84.6161,,,,,city,13097,Douglas County,GA,23996,46240,70721,33.930515688409386,65.38369084147566,-31.453175153066276,Harris
grindcap-marietta-bells-ferry-ga,GrindCap Marietta Campus (Bells Ferry Road),Grind Capital Group,proposed,GA,Cobb,Cobb County,Marietta,33.9526,-84.5499,108.0,31.0,,2025-06-17,city,13067,Cobb County,GA,168679,228404,401369,42.02591630145826,56.90623839907916,-14.880322097620894,Harris
meta-stanton-springs-newton-ga,Meta Newton Data Center (Stanton Springs),Meta Platforms,operational,GA,Newton,Walton County,Social Circle,33.6551,-83.7182,,,,2021-03-14,city,13217,Newton County,GA,24893,33839,59051,42.155086281350016,57.30470271460263,-15.149616433252614,Harris
microsoft-firecracker-rome-ga,"Microsoft Data Center Campus – Rome, GA",Microsoft,permitted,GA,Floyd,Floyd County,Rome,34.27,-85.16,,347.0,1000000000.0,2023,city,13115,Floyd County,GA,31631,12862,44738,70.70275828155036,28.749608833653717,41.95314944789664,Trump
microsoft-douglasville-ga,Microsoft Douglasville Data Center Campus,Microsoft,under_construction,GA,Douglas,Douglas County,Douglasville,33.7547,-84.7427,,160.0,,2024-01,city,13097,Douglas County,GA,23996,46240,70721,33.930515688409386,65.38369084147566,-31.453175153066276,Harris
microsoft-fairwater-fayetteville-ga,Microsoft Fairwater Atlanta (Azure AI Superfactory),Microsoft,operational,GA,Fayette,Fayette County,Fayetteville,33.4487,-84.4549,1500.0,615.0,,2025,city,13113,Fayette County,GA,38177,35822,74633,51.15297522543647,47.99753460265566,3.155440622780807,Trump
microsoft-tyrone-ga,Microsoft Tyrone Campus (Project Rita),Microsoft,permitted,GA,Fayette,Fayette County,Tyrone,33.494,-84.588,96.0,161.0,,2023-11,city,13113,Fayette County,GA,38177,35822,74633,51.15297522543647,47.99753460265566,3.155440622780807,Trump
northern-data-maysville-ga,Northern Data Maysville HPC Campus,Northern Data Group,proposed,GA,Jackson,Banks County,Maysville,34.2551,-83.5531,180.0,63.0,,2025-01,city,13157,Jackson County,GA,36497,10472,47243,77.25377304574222,22.16624685138539,55.08752619435684,Trump
openai-project-camellia-effingham-ga,Project Camellia (OpenAI Effingham County Campus),OpenAI,proposed,GA,Effingham,Effingham County,Rincon,32.296,-81.2354,3200.0,1400.0,20000000000.0,2026-07-22,city,13103,Effingham County,GA,26943,9144,36244,74.33782143251297,25.22900342125593,49.108818011257036,Trump
prologis-project-sail-coweta-ga,Project Sail – Prologis Data Center Campus,Prologis,permitted,GA,Coweta,Coweta County,Newnan,33.3807,-84.7974,900.0,800.0,17000000000.0,2026-04,city,13077,Coweta County,GA,57204,28111,85916,66.58131197914243,32.719167559011126,33.86214442013129,Trump
qts-blue-hole-blakely-ga,QTS Project Blue Hole,QTS Data Centers,permitted,GA,Early,Early County,Blakely,31.3763,-84.9346,1000.0,,,,city,13099,Early County,GA,2718,2158,4879,55.70813691330191,44.230375076860014,11.477761836441895,Trump
qts-eisenhower-augusta-ga,QTS Project Eisenhower,QTS Data Centers,under_construction,GA,Richmond,Richmond County,Augusta,33.4735,-82.0105,,170.0,2000000000.0,,city,13245,Richmond County,GA,26472,56657,83578,31.673406877407928,67.78937040848069,-36.11596353107277,Harris
tpa-social-circle-technology-park-ga,Social Circle Technology Park,TPA Group (developer; end tenant undisclosed),proposed,GA,Newton,Walton County,Social Circle,33.6562,-83.7182,,317.0,5000000000.0,2025-01,city,13217,Newton County,GA,24893,33839,59051,42.155086281350016,57.30470271460263,-15.149616433252614,Harris
switch-atlanta-the-keep-ga,Switch Atlanta: The KEEP,Switch,operational,GA,Douglas,Douglas County,Lithia Springs,33.755,-84.5873,,,,,uninc,13097,Douglas County,GA,23996,46240,70721,33.930515688409386,65.38369084147566,-31.453175153066276,Harris
t5-atlanta-iv-palmetto-ga,T5 @ Atlanta IV,T5 Data Centers,proposed,GA,Fulton,Fulton County,Palmetto,33.548,-84.724,300.0,91.0,,2024-08-28,city,13121,Fulton County,GA,144655,384752,535238,27.026294844536448,71.88428325343118,-44.857988408894734,Harris
white-oak-technology-park-columbia-county-ga,White Oak Technology Park,Trammell Crow Company (CBRE subsidiary),permitted,GA,Columbia,Columbia County,Appling,33.6,-82.28,,1945.0,11600000000.0,,uninc,13073,Columbia County,GA,53657,31624,85920,62.44995344506518,36.80633147113594,25.643621973929235,Trump
servpac-mtp2-mililani-hi,Servpac MTP Building 2,Servpac,proposed,HI,Honolulu,Honolulu County,Mililani,21.448,-158.017,,,13000000.0,2026-01,uninc,15003,Honolulu County,HI,130489,204301,340921,38.27543624476052,59.926199911416425,-21.650763666655912,Harris
apple-waukee-ia,Apple Waukee Data Center,Apple,operational,IA,Dallas,Dallas County,Waukee,41.6194,-93.9258,,2000.0,1300000000.0,2017,city,19049,Dallas County,IA,32374,29402,62961,51.419132478836104,46.698750019853556,4.720382458982545,Trump
google-cedar-rapids-ia,Google Cedar Rapids Data Center Campus,Google,under_construction,IA,Linn,Linn County,Cedar Rapids,41.936,-91.723,,1391.0,576000000.0,2025-05,city,19113,Linn County,IA,54237,66358,122959,44.109825226294944,53.96758269016502,-9.85775746387007,Harris
google-council-bluffs-ia,Google Council Bluffs Data Center,Google,operational,IA,Pottawattamie,Pottawattamie County,Council Bluffs,41.1674,-95.793,,,2500000000.0,2007,city,19155,Pottawattamie County,IA,26335,17468,44559,59.10141610000225,39.20195695594605,19.899459144056195,Trump
meta-altoona-ia,Meta Altoona Data Center Campus,Meta,operational,IA,Polk,Polk County,Altoona,41.6459,-93.4696,,,2500000000.0,2013,city,19153,Polk County,IA,112240,140075,256838,43.700698494771025,54.538269259221764,-10.837570764450744,Harris
microsoft-ginger-west-ia,Microsoft Project Ginger West Data Center,Microsoft,under_construction,IA,Polk,Polk County,West Des Moines,41.551,-93.782,,188.0,1650000000.0,2021,city,19153,Polk County,IA,112240,140075,256838,43.700698494771025,54.538269259221764,-10.837570764450744,Harris
qts-cedar-rapids-ia,QTS Cedar Rapids Data Center Campus,QTS Data Centers,under_construction,IA,Linn,Linn County,Cedar Rapids,41.932,-91.718,1050.0,612.0,10000000000.0,2025-02,uninc,19113,Linn County,IA,54237,66358,122959,44.109825226294944,53.96758269016502,-9.85775746387007,Harris
qts-clinton-clinton-county-ia,QTS Clinton Data Center Campus,QTS Data Centers,proposed,IA,Clinton,Clinton County,Clinton,41.88,-90.24,,1200.0,10000000000.0,,uninc,19045,Clinton County,IA,13964,9472,23878,58.480609766312085,39.66831392913979,18.812295837172293,Trump
midamerican-salix-ia,Salix Data Center Site (MidAmerican),MidAmerican Energy,proposed,IA,Woodbury,Woodbury County,Salix,42.3119,-96.2922,,900.0,,2026-04,city,19193,Woodbury County,IA,25969,16145,42921,60.504182102001344,37.61561939376995,22.8885627082314,Trump
meta-kuna-id,Meta Kuna Data Center,Meta,under_construction,ID,Ada,Ada County,Kuna,43.491,-116.418,,485.0,800000000.0,2022-09,city,16001,Ada County,ID,143759,116116,267419,53.75796035435029,43.42099850795942,10.33696184639087,Trump
lex-portneuf-pocatello-id,Portneuf Data Center (former Hoku plant),Lex Developments,cancelled,ID,Bannock,Bannock County,Pocatello,42.8727,-112.4638,100.0,59.0,2600000000.0,2026-05,city,16005,Bannock County,ID,24329,14306,39976,60.85901540924554,35.78647188312988,25.07254352611567,Trump
