matched_county_fips,matched_county_name,matched_state,trump_pct,county_winner,total_votes,facility_count,total_mw
37051,Cumberland County,NC,42.5868069146627,Harris,140513,2,225.0
37067,Forsyth County,NC,42.63845334740092,Harris,204726,1,0.0
37081,Guilford County,NC,38.265515535707394,Harris,285053,1,20.0
37083,Halifax County,NC,40.80116837054037,Harris,23965,1,88.0
37097,Iredell County,NC,65.66042841037203,Trump,110875,1,500.0
37105,Lee County,NC,58.139689505003155,Trump,30081,2,90.0
37119,Mecklenburg County,NC,32.514004207755775,Harris,577505,2,700.0
37145,Person County,NC,61.304229442730076,Trump,22036,1,0.0
37153,Richmond County,NC,60.03623006088663,Trump,19873,1,0.0
37157,Rockingham County,NC,67.44026615586249,Trump,49595,1,200.0
37161,Rutherford County,NC,73.42370925872513,Trump,34670,1,0.0
37169,Stokes County,NC,79.29346826126955,Trump,27175,1,0.0
37183,Wake County,NC,36.22127360078338,Harris,653580,1,300.0
38017,Cass County,ND,52.69397144775512,Trump,90851,1,280.0
38021,Dickey County,ND,74.56176110884631,Trump,2453,1,400.0
39003,Allen County,OH,71.60171666415062,Trump,46369,1,0.0
39017,Butler County,OH,62.68170330300169,Trump,183197,1,250.0
39023,Clark County,OH,64.27969135311432,Trump,62855,1,150.0
39031,Coshocton County,OH,75.66872742853646,Trump,16337,1,0.0
39043,Erie County,OH,56.58758710910966,Trump,39749,1,96.0
39045,Fairfield County,OH,61.568608877890526,Trump,84457,1,696.0
39047,Fayette County,OH,77.20945032217007,Trump,12571,1,0.0
39049,Franklin County,OH,35.24259266998203,Harris,598225,4,0.0
39061,Hamilton County,OH,42.03153004864845,Harris,410085,1,0.0
39089,Licking County,OH,64.54765411319167,Trump,95060,8,2192.0
39095,Lucas County,OH,43.22880871312477,Harris,190609,1,500.0
39111,Monroe County,OH,79.39964685108887,Trump,6796,1,570.0
39115,Morgan County,OH,76.20171040990859,Trump,6782,1,200.0
39133,Portage County,OH,57.29099079614544,Trump,83226,1,750.0
39141,Ross County,OH,69.23660876958581,Trump,32932,1,0.0
39149,Shelby County,OH,82.01518506801645,Trump,25288,1,1500.0
39151,Stark County,OH,60.522386844234035,Trump,184193,1,240.0
39155,Trumbull County,OH,57.99424025193718,Trump,96532,2,1500.0
39159,Union County,OH,64.29318248840514,Trump,37301,3,0.0
39167,Washington County,OH,71.48709677419355,Trump,31000,1,200.0
39173,Wood County,OH,54.56307519308733,Trump,67586,1,0.0
40097,Mayes County,OK,77.78289397950961,Trump,17374,1,0.0
40101,Muskogee County,OK,67.94761259596831,Trump,24357,2,1000.0
40103,Noble County,OK,77.72846479725641,Trump,4957,1,0.0
40109,Oklahoma County,OK,49.7080537028897,Trump,288923,4,200.0
40111,Okmulgee County,OK,70.38818036100076,Trump,14349,1,0.0
40113,Osage County,OK,69.82741904207873,Trump,20628,2,10.0
40119,Payne County,OK,61.34772362444073,Trump,29279,1,0.0
40131,Rogers County,OK,76.6321265617671,Trump,46902,1,2000.0
40143,Tulsa County,OK,56.52742479732543,Trump,256939,7,43.0
40151,Woods County,OK,81.22594832325454,Trump,3638,1,1600.0
41013,Crook County,OR,73.70681720562067,Trump,16297,1,0.0
41049,Morrow County,OR,72.02028740490279,Trump,4732,1,1000.0
41059,Umatilla County,OR,67.16733386709367,Trump,31225,1,150.0
41065,Wasco County,OR,51.0566798596072,Trump,13391,1,0.0
41067,Washington County,OR,31.075788138238426,Harris,297949,4,151.0
42003,Allegheny County,PA,39.360641995047914,Harris,720504,2,200.0
42017,Bucks County,PA,49.55314840858993,Trump,401028,1,0.0
42025,Carbon County,PA,66.98121203559825,Trump,35395,1,0.0
42029,Chester County,PA,42.25052621213427,Harris,324964,1,300.0
42041,Cumberland County,PA,54.08973287689696,Trump,148396,1,1350.0
42063,Indiana County,PA,69.18231547041133,Trump,42229,1,4500.0
42069,Lackawanna County,PA,48.2554249935672,Harris,116590,4,2200.0
42071,Lancaster County,PA,57.478643559187844,Trump,289257,1,300.0
42079,Luzerne County,PA,59.2020493115594,Trump,156150,2,960.0
42091,Montgomery County,PA,38.070400417733715,Harris,520906,2,0.0
42093,Montour County,PA,59.991925716592654,Trump,9908,1,0.0
42095,Northampton County,PA,50.39811463681508,Trump,178215,1,0.0
42129,Westmoreland County,PA,63.848663986758105,Trump,211450,1,3000.0
42133,York County,PA,62.1499939809799,Trump,249210,1,0.0
44007,Providence County,RI,41.69512642808672,Harris,269679,1,0.0
45003,Aiken County,SC,62.250409450465206,Trump,86091,1,200.0
45015,Berkeley County,SC,57.40911427406633,Trump,112834,1,0.0
45029,Colleton County,SC,58.524841321952294,Trump,18276,1,0.0
45035,Dorchester County,SC,56.374414896353066,Trump,77764,2,0.0
45083,Spartanburg County,SC,66.21721498486475,Trump,155597,1,450.0
46039,Deuel County,SD,74.7171453437772,Trump,2298,1,430.0
46099,Minnehaha County,SD,55.15927904155939,Trump,93986,1,500.0
47125,Montgomery County,TN,58.461256192281816,Trump,81755,2,350.0
47157,Shelby County,TN,36.422080447906104,Harris,326497,1,1200.0
47165,Sumner County,TN,70.34195640388295,Trump,97761,1,0.0
48005,Angelina County,TX,75.67544012550114,Trump,34422,1,2100.0
48011,Armstrong County,TX,92.7862939585212,Trump,1109,1,933.0
48015,Austin County,TX,80.97900279529351,Trump,15383,1,285.0
48027,Bell County,TX,57.52322787038313,Trump,130662,2,300.0
48029,Bexar County,TX,44.51203510904983,Harris,758323,1,0.0
48039,Brazoria County,TX,59.16036187255471,Trump,162046,1,300.0
48045,Briscoe County,TX,89.39597315436242,Trump,745,1,2.0
48055,Caldwell County,TX,56.58573886446187,Trump,15693,2,6000.0
48065,Carson County,TX,90.21089077746302,Trump,3177,1,0.0
48075,Childress County,TX,87.63204225352112,Trump,2272,1,750.0
48085,Collin County,TX,54.21686045947807,Trump,515585,5,150.0
48113,Dallas County,TX,37.95500969557769,Harris,849872,2,0.0
48121,Denton County,TX,55.771970756119934,Trump,449188,1,260.0
48125,Dickens County,TX,84.99496475327291,Trump,993,2,2430.0
48135,Ector County,TX,76.09761820955063,Trump,42615,1,250.0
48139,Ellis County,TX,65.05117671283787,Trump,99557,2,1800.0
48141,El Paso County,TX,41.787342637606386,Harris,251569,1,1000.0
48179,Gray County,TX,88.27176781002638,Trump,7580,1,0.0
48189,Hale County,TX,78.43834141087775,Trump,9285,2,708.0
48201,Harris County,TX,46.40143975796862,Harris,1557484,2,500.0
48207,Haskell County,TX,85.35825545171339,Trump,2247,1,0.0
48209,Hays County,TX,46.443132237119215,Harris,125827,1,1200.0
48217,Hill County,TX,81.8209026696995,Trump,16706,2,1847.0
48221,Hood County,TX,82.548628019588,Trump,36553,2,2100.0
48223,Hopkins County,TX,81.9763976636071,Trump,16778,1,3000.0
48325,Medina County,TX,70.94284437583784,Trump,24617,1,0.0
48331,Milam County,TX,78.31140746080375,Trump,11098,1,1200.0
48335,Mitchell County,TX,85.31635495423797,Trump,2513,1,300.0
48353,Nolan County,TX,79.13978494623656,Trump,5115,1,2000.0
48355,Nueces County,TX,55.22855405249922,Trump,121678,1,352.0
48371,Pecos County,TX,71.86392629340894,Trump,4233,2,9650.0
48389,Reeves County,TX,68.04303576621112,Trump,3439,3,3500.0
48417,Shackelford County,TX,90.56712962962963,Trump,1728,1,1400.0
48439,Tarrant County,TX,51.81826573644014,Trump,823312,2,0.0
48441,Taylor County,TX,74.34180847032499,Trump,55417,2,2400.0
48453,Travis County,TX,29.38139541285035,Harris,581276,2,700.0
48469,Victoria County,TX,70.81976497239133,Trump,35315,1,1500.0
48479,Webb County,TX,50.68549305397404,Trump,65865,1,5000.0
48487,Wilbarger County,TX,79.82986344302664,Trump,4467,1,0.0
48489,Willacy County,TX,51.33920546467733,Trump,5563,1,166.0
48491,Williamson County,TX,50.34865740155413,Trump,308469,1,185.0
48495,Winkler County,TX,85.1526125193999,Trump,1933,1,300.0
49003,Box Elder County,UT,79.02143845089903,Trump,28920,1,9000.0
49027,Millard County,UT,87.02051041177391,Trump,6387,2,14000.0
49045,Tooele County,UT,69.05840145856614,Trump,34006,1,0.0
49049,Utah County,UT,68.24778713570335,Trump,298143,2,200.0
51033,Caroline County,VA,53.74053565374619,Trump,17698,2,1670.0
51041,Chesterfield County,VA,44.642687581897945,Harris,210628,3,170.0
51047,Culpeper County,VA,61.66533003242791,Trump,28679,1,0.0
51059,Fairfax County,VA,30.85963147259966,Harris,589427,2,0.0
51075,Goochland County,VA,58.3578158241313,Trump,19742,1,900.0
51085,Hanover County,VA,62.07972317584872,Trump,73404,1,900.0
51087,Henrico County,VA,34.64782989602676,Harris,181489,3,250.0
51107,Loudoun County,VA,40.100221165734986,Harris,229692,6,198.0
51109,Louisa County,VA,62.47514910536779,Trump,24144,1,1100.0
51153,Prince William County,VA,39.439557172339015,Harris,228712,5,682.0
51177,Spotsylvania County,VA,53.48869381492567,Trump,79514,1,800.0
51179,Stafford County,VA,48.58808460718946,Harris,83539,1,192.0
51195,Wise County,VA,81.2217463716393,Trump,16812,1,600.0
51197,Wythe County,VA,79.2697899838449,Trump,15475,1,0.0
53005,Benton County,WA,59.145124288679455,Trump,100693,1,2.0
53007,Chelan County,WA,53.00419520750871,Trump,42191,1,288.0
53017,Douglas County,WA,61.82135775658578,Trump,21182,1,180.0
53063,Spokane County,WA,50.62595356030681,Trump,287082,1,500.0
53071,Walla Walla County,WA,52.34036796536796,Trump,29568,1,300.0
54003,Berkeley County,WV,66.98513421981392,Trump,56102,1,600.0
54053,Mason County,WV,78.0506305110458,Trump,10547,1,2000.0
55009,Brown County,WI,52.99029685334119,Trump,149333,1,0.0
55021,Columbia County,WI,51.5208798762674,Trump,34914,1,0.0
55025,Dane County,WI,23.352617584285476,Harris,365929,1,0.0
55027,Dodge County,WI,65.73956262425448,Trump,50300,1,220.0
55033,Dunn County,WI,57.34870317002881,Trump,25678,1,0.0
55043,Grant County,WI,58.30952904123636,Trump,27306,1,0.0
55059,Kenosha County,WI,52.35774150860168,Trump,90680,1,0.0
55089,Ozaukee County,WI,54.36097806906982,Trump,63472,1,902.0
55101,Racine County,WI,52.32527905205876,Trump,107686,1,1000.0
55105,Rock County,WI,45.54184124108255,Harris,88310,1,800.0
55141,Wood County,WI,59.21214705324995,Trump,42216,2,20.0
56009,Converse County,WY,85.41326606321412,Trump,6739,1,1500.0
56021,Laramie County,WY,64.71795581384623,Trump,43362,4,3111.0
56041,Uinta County,WY,80.11882495324018,Trump,9089,1,1250.0
